route_name,route_miles,avg_ridership
Metra Electric (University Park, Blue Island, South Chicago), 40.6, 28100
Heritage Corridor (Joilet), 37.2, 2600
Milwaukee North (Fox Lake), 49.5, 22100
Milwaukee West (Elgin), 39.8, 20600
North Central Service (Antioch), 52.8, 5600
Rock Island (Joliet, Blue Island), 46.6, 26900
SouthWest Service (Manhattan), 40.8, 9600
Union Pacific North (Kenosha, WI), 51.6, 34600
Union Pacific Northwest (Harvard, McHenry), 70.5, 40100
Union Pacific West (Elburn), 43.6, 27900
Total, 487.5, 281100